id	pr_analyte_id	pr_analyte_num	pr_bset_id	pr_lua_id	pr_pool_id	pr_gene_id	pr_gene_symbol	pr_gene_title	pr_is_bing	pr_is_inf	pr_is_lmark	pr_model_id
212851_at	Analyte 21	21	dp53	LUA-4079	epsilon	23142	DCUN1D4	"DCN1, defective in cullin neddylation 1, domain containing 4 (S. cerevisiae)"	1	1	Y	-666
210151_s_at	Analyte 22	22	dp53	LUA-491	epsilon	8444	DYRK3	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3	1	1	Y	-666
214435_x_at	Analyte 22	22	dp52	LUA-3455	epsilon	5898	RALA	v-ral simian leukemia viral oncogene homolog A (ras related)	1	1	Y	-666
201334_s_at	Analyte 23	23	dp52	LUA-3655	epsilon	23365	ARHGEF12	Rho guanine nucleotide exchange factor (GEF) 12	1	1	Y	-666
205811_at	Analyte 23	23	dp53	LUA-454	epsilon	11232	POLG2	"polymerase (DNA directed), gamma 2, accessory subunit"	1	1	Y	-666
213721_at	Analyte 24	24	dp52	LUA-3783	epsilon	6657	SOX2	SRY (sex determining region Y)-box 2	1	1	Y	-666
203512_at	Analyte 24	24	dp53	LUA-361	epsilon	27095	TRAPPC3	trafficking protein particle complex 3	1	1	Y	-666
202627_s_at	Analyte 25	25	dp52	LUA-3556	epsilon	5054	SERPINE1	"serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1"	1	1	Y	-666
204849_at	Analyte 25	25	dp53	LUA-353	epsilon	10732	TCFL5	transcription factor-like 5 (basic helix-loop-helix)	1	1	Y	-666
202224_at	Analyte 26	26	dp53	LUA-3938	epsilon	1398	CRK	v-crk sarcoma virus CT10 oncogene homolog (avian)	1	1	Y	-666
217478_s_at	Analyte 26	26	dp52	LUA-4242	epsilon	3108	HLA-DMA	"major histocompatibility complex, class II, DM alpha"	1	1	Y	-666
206254_at	Analyte 27	27	dp52	LUA-3982	epsilon	1950	EGF	epidermal growth factor	1	1	Y	-666
212591_at	Analyte 27	27	dp53	LUA-506	epsilon	23029	RBM34	RNA binding motif protein 34	1	1	Y	-666
203336_s_at	Analyte 28	28	dp53	LUA-4171	epsilon	9270	ITGB1BP1	integrin beta 1 binding protein 1	1	1	Y	-666
203127_s_at	Analyte 28	28	dp52	LUA-3795	epsilon	9517	SPTLC2	"serine palmitoyltransferase, long chain base subunit 2"	1	1	Y	-666
210337_s_at	Analyte 29	29	dp53	LUA-4182	epsilon	47	ACLY	ATP citrate lyase	1	1	Y	-666
200602_at	Analyte 29	29	dp52	LUA-3648	epsilon	351	APP	amyloid beta (A4) precursor protein	1	1	Y	-666
206066_s_at	Analyte 30	30	dp53	LUA-4167	epsilon	5889	RAD51C	RAD51 homolog C (S. cerevisiae)	1	1	Y	-666
218245_at	Analyte 30	30	dp52	LUA-3835	epsilon	25987	TSKU	tsukushi small leucine rich proteoglycan homolog (Xenopus laevis)	1	1	Y	-666
201589_at	Analyte 31	31	dp53	LUA-4177	epsilon	8243	SMC1A	structural maintenance of chromosomes 1A	1	1	Y	-666
218113_at	Analyte 31	31	dp52	LUA-3826	epsilon	23670	TMEM2	transmembrane protein 2	1	1	Y	-666
205581_s_at	Analyte 32	32	dp52	LUA-3114	epsilon	4846	NOS3	nitric oxide synthase 3 (endothelial cell)	1	1	Y	-666
201351_s_at	Analyte 32	32	dp53	LUA-4183	epsilon	10730	YME1L1	YME1-like 1 (S. cerevisiae)	1	1	Y	-666
214274_s_at	Analyte 33	33	dp53	LUA-175	epsilon	30	ACAA1	acetyl-CoA acyltransferase 1	1	1	Y	-666
206562_s_at	Analyte 33	33	dp52	LUA-3941	epsilon	1452	CSNK1A1	"casein kinase 1, alpha 1"	1	1	Y	-666
208687_x_at	Analyte 34	34	dp53	LUA-4278	epsilon	3312	HSPA8	heat shock 70kDa protein 8	1	1	Y	-666
205897_at	Analyte 34	34	dp52	LUA-3087	epsilon	4776	NFATC4	"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4"	1	1	Y	-666
214710_s_at	Analyte 35	35	dp53	LUA-3734	epsilon	891	CCNB1	cyclin B1	1	1	Y	-666
203135_at	Analyte 35	35	dp52	LUA-3828	epsilon	6908	TBP	TATA box binding protein	1	1	Y	-666
220091_at	Analyte 36	36	dp52	LUA-3921	epsilon	11182	SLC2A6	"solute carrier family 2 (facilitated glucose transporter), member 6"	1	1	Y	-666
202908_at	Analyte 36	36	dp53	LUA-149	epsilon	7466	WFS1	Wolfram syndrome 1 (wolframin)	1	1	Y	-666
203358_s_at	Analyte 37	37	dp52	LUA-3896	epsilon	2146	EZH2	enhancer of zeste homolog 2 (Drosophila)	1	1	Y	-666
212403_at	Analyte 37	37	dp53	LUA-393	epsilon	89910	UBE3B	ubiquitin protein ligase E3B	1	1	Y	-666
204949_at	Analyte 38	38	dp52	LUA-3929	epsilon	3385	ICAM3	intercellular adhesion molecule 3	1	1	Y	-666
218086_at	Analyte 38	38	dp53	LUA-4286	epsilon	56654	NPDC1	"neural proliferation, differentiation and control, 1"	1	1	Y	-666
208950_s_at	Analyte 39	39	dp53	LUA-4237	epsilon	501	ALDH7A1	"aldehyde dehydrogenase 7 family, member A1"	1	1	Y	-666
204531_s_at	Analyte 39	39	dp52	LUA-3688	epsilon	672	BRCA1	"breast cancer 1, early onset"	1	1	Y	-666
207416_s_at	Analyte 40	40	dp53	LUA-3085	epsilon	4775	NFATC3	"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 3"	1	1	Y	-666
200882_s_at	Analyte 40	40	dp52	LUA-3393	epsilon	5710	PSMD4	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 4"	1	1	Y	-666
201202_at	Analyte 41	41	dp53	LUA-3157	epsilon	5111	PCNA	proliferating cell nuclear antigen	1	1	Y	-666
203709_at	Analyte 41	41	dp52	LUA-63	epsilon	5261	PHKG2	"phosphorylase kinase, gamma 2 (testis)"	1	1	Y	-666
206501_x_at	Analyte 42	42	dp52	LUA-4042	epsilon	2115	ETV1	ets variant 1	1	1	Y	-666
212955_s_at	Analyte 42	42	dp53	LUA-178	epsilon	5438	POLR2I	"polymerase (RNA) II (DNA directed) polypeptide I, 14.5kDa"	1	1	Y	-666
201548_s_at	Analyte 43	43	dp52	LUA-457	epsilon	10765	KDM5B	lysine (K)-specific demethylase 5B	1	1	Y	-666
209040_s_at	Analyte 43	43	dp53	LUA-3379	epsilon	5696	PSMB8	"proteasome (prosome, macropain) subunit, beta type, 8 (large multifunctional peptidase 7)"	1	1	Y	-666
218064_s_at	Analyte 44	44	dp53	LUA-184	epsilon	26993	AKAP8L	A kinase (PRKA) anchor protein 8-like	1	1	Y	-666
212189_s_at	Analyte 44	44	dp52	LUA-346	epsilon	25839	COG4	component of oligomeric golgi complex 4	1	1	Y	-666
201555_at	Analyte 45	45	dp52	LUA-218	epsilon	4172	MCM3	minichromosome maintenance complex component 3	1	1	Y	-666
218290_at	Analyte 45	45	dp53	LUA-579	epsilon	55111	PLEKHJ1	"pleckstrin homology domain containing, family J member 1"	1	1	Y	-666
203138_at	Analyte 46	46	dp53	LUA-4394	epsilon	8520	HAT1	histone acetyltransferase 1	1	1	Y	-666
207199_at	Analyte 46	46	dp52	LUA-3836	epsilon	7015	TERT	telomerase reverse transcriptase	1	1	Y	-666
201503_at	Analyte 47	47	dp53	LUA-4405	epsilon	10146	G3BP1	GTPase activating protein (SH3 domain) binding protein 1	1	1	Y	-666
213292_s_at	Analyte 47	47	dp52	LUA-540	epsilon	23161	SNX13	sorting nexin 13	1	1	Y	-666
203154_s_at	Analyte 48	48	dp52	LUA-481	epsilon	10298	PAK4	p21 protein (Cdc42/Rac)-activated kinase 4	1	1	Y	-666
201379_s_at	Analyte 48	48	dp53	LUA-4432	epsilon	7165	TPD52L2	tumor protein D52-like 2	1	1	Y	-666
204514_at	Analyte 49	49	dp52	LUA-4030	epsilon	1802	DPH2	DPH2 homolog (S. cerevisiae)	1	1	Y	-666
217872_at	Analyte 49	49	dp53	LUA-706	epsilon	55011	PIH1D1	PIH1 domain containing 1	1	1	Y	-666
210038_at	Analyte 50	50	dp53	LUA-3337	epsilon	5588	PRKCQ	"protein kinase C, theta"	1	1	Y	-666
217789_at	Analyte 50	50	dp52	LUA-3993	epsilon	58533	SNX6	sorting nexin 6	1	1	Y	-666
209572_s_at	Analyte 51	51	dp52	LUA-3981	epsilon	8726	EED	embryonic ectoderm development	1	1	Y	-666
204656_at	Analyte 51	51	dp53	LUA-3339	epsilon	6461	SHB	Src homology 2 domain containing adaptor protein B	1	1	Y	-666
221514_at	Analyte 52	52	dp53	LUA-2029	epsilon	10813	UTP14A	"UTP14, U3 small nucleolar ribonucleoprotein, homolog A (yeast)"	1	1	Y	-666
212051_at	Analyte 52	52	dp52	LUA-1280	epsilon	147179	WIPF2	"WAS/WASL interacting protein family, member 2"	1	1	Y	-666
218407_x_at	Analyte 53	53	dp52	LUA-4035	epsilon	29937	NENF	neudesin neurotrophic factor	1	1	Y	-666
219581_at	Analyte 53	53	dp53	LUA-925	epsilon	80746	TSEN2	tRNA splicing endonuclease 2 homolog (S. cerevisiae)	1	1	Y	-666
201011_at	Analyte 54	54	dp52	LUA-582	epsilon	6184	RPN1	ribophorin I	1	1	Y	-666
218619_s_at	Analyte 54	54	dp53	LUA-3804	epsilon	6839	SUV39H1	suppressor of variegation 3-9 homolog 1 (Drosophila)	1	1	Y	-666
204757_s_at	Analyte 55	55	dp52	LUA-610	epsilon	9854	C2CD2L	C2CD2-like	1	1	Y	-666
203007_x_at	Analyte 55	55	dp53	LUA-4425	epsilon	10434	LYPLA1	lysophospholipase I	1	1	Y	-666
202076_at	Analyte 56	56	dp53	LUA-3679	epsilon	329	BIRC2	baculoviral IAP repeat containing 2	1	1	Y	-666
206173_x_at	Analyte 56	56	dp52	LUA-192	epsilon	2553	GABPB1	"GA binding protein transcription factor, beta subunit 1"	1	1	Y	-666
204756_at	Analyte 57	57	dp53	LUA-901	epsilon	5607	MAP2K5	mitogen-activated protein kinase kinase 5	1	1	Y	-666
202635_s_at	Analyte 57	57	dp52	LUA-4150	epsilon	5440	POLR2K	"polymerase (RNA) II (DNA directed) polypeptide K, 7.0kDa"	1	1	Y	-666
203110_at	Analyte 58	58	dp52	LUA-3426	epsilon	2185	PTK2B	PTK2B protein tyrosine kinase 2 beta	1	1	Y	-666
209899_s_at	Analyte 58	58	dp53	LUA-601	epsilon	22827	PUF60	poly-U binding splicing factor 60KDa	1	1	Y	-666
210788_s_at	Analyte 59	59	dp53	LUA-4456	epsilon	51635	DHRS7	dehydrogenase/reductase (SDR family) member 7	1	1	Y	-666
202093_s_at	Analyte 59	59	dp52	LUA-429	epsilon	54623	PAF1	"Paf1, RNA polymerase II associated factor, homolog (S. cerevisiae)"	1	1	Y	-666
212614_at	Analyte 60	60	dp53	LUA-3363	epsilon	84159	ARID5B	AT rich interactive domain 5B (MRF1-like)	1	1	Y	-666
207515_s_at	Analyte 60	60	dp52	LUA-188	epsilon	9533	POLR1C	"polymerase (RNA) I polypeptide C, 30kDa"	1	1	Y	-666
209615_s_at	Analyte 61	61	dp53	LUA-3132	epsilon	5058	PAK1	p21 protein (Cdc42/Rac)-activated kinase 1	1	1	Y	-666
201614_s_at	Analyte 61	61	dp52	LUA-1206	epsilon	8607	RUVBL1	RuvB-like 1 (E. coli)	1	1	Y	-666
207163_s_at	Analyte 62	62	dp52	LUA-243	epsilon	207	AKT1	v-akt murine thymoma viral oncogene homolog 1	1	1	Y	-666
208728_s_at	Analyte 62	62	dp53	LUA-3771	epsilon	998	CDC42	"cell division cycle 42 (GTP binding protein, 25kDa)"	1	1	Y	-666
215980_s_at	Analyte 63	63	dp53	LUA-2019	epsilon	3508	IGHMBP2	immunoglobulin mu binding protein 2	1	1	Y	-666
202318_s_at	Analyte 63	63	dp52	LUA-874	epsilon	26054	SENP6	SUMO1/sentrin specific peptidase 6	1	1	Y	-666
212500_at	Analyte 64	64	dp53	LUA-1018	epsilon	84890	ADO	2-aminoethanethiol (cysteamine) dioxygenase	1	1	Y	-666
201841_s_at	Analyte 64	64	dp52	LUA-4279	epsilon	3315	HSPB1	heat shock 27kDa protein 1	1	1	Y	-666
202735_at	Analyte 65	65	dp52	LUA-4194	epsilon	10682	EBP	emopamil binding protein (sterol isomerase)	1	1	Y	-666
218584_at	Analyte 65	65	dp53	LUA-3812	epsilon	79600	TCTN1	tectonic family member 1	1	1	Y	-666
214259_s_at	Analyte 66	66	dp53	LUA-248	epsilon	8574	AKR7A2	"aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)"	1	1	Y	-666
207620_s_at	Analyte 66	66	dp52	LUA-4137	epsilon	8573	CASK	calcium/calmodulin-dependent serine protein kinase (MAGUK family)	1	1	Y	-666
203338_at	Analyte 67	67	dp53	LUA-850	epsilon	5529	PPP2R5E	"protein phosphatase 2, regulatory subunit B', epsilon isoform"	1	1	Y	-666
203171_s_at	Analyte 67	67	dp52	LUA-453	epsilon	23378	RRP8	"ribosomal RNA processing 8, methyltransferase, homolog (yeast)"	1	1	Y	-666
203726_s_at	Analyte 68	68	dp53	LUA-3586	epsilon	3909	LAMA3	"laminin, alpha 3"	1	1	Y	-666
204297_at	Analyte 68	68	dp52	LUA-3182	epsilon	5289	PIK3C3	"phosphoinositide-3-kinase, class 3"	1	1	Y	-666
201170_s_at	Analyte 69	69	dp52	LUA-3380	epsilon	8553	BHLHE40	"basic helix-loop-helix family, member e40"	1	1	Y	-666
205034_at	Analyte 69	69	dp53	LUA-3741	epsilon	9134	CCNE2	cyclin E2	1	1	Y	-666
211715_s_at	Analyte 70	70	dp52	LUA-3376	epsilon	622	BDH1	"3-hydroxybutyrate dehydrogenase, type 1"	1	1	Y	-666
215000_s_at	Analyte 70	70	dp53	LUA-4069	epsilon	9637	FEZ2	fasciculation and elongation protein zeta 2 (zygin II)	1	1	Y	-666
202491_s_at	Analyte 71	71	dp53	LUA-1361	epsilon	8518	IKBKAP	"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein"	1	1	Y	-666
201811_x_at	Analyte 71	71	dp52	LUA-3338	epsilon	9467	SH3BP5	SH3-domain binding protein 5 (BTK-associated)	1	1	Y	-666
202187_s_at	Analyte 72	72	dp52	LUA-378	epsilon	5525	PPP2R5A	"protein phosphatase 2, regulatory subunit B', alpha"	1	1	Y	-666
205120_s_at	Analyte 72	72	dp53	LUA-4214	epsilon	6443	SGCB	"sarcoglycan, beta (43kDa dystrophin-associated glycoprotein)"	1	1	Y	-666
203442_x_at	Analyte 73	73	dp52	LUA-3269	epsilon	256364	EML3	echinoderm microtubule associated protein like 3	1	1	Y	-666
217956_s_at	Analyte 73	73	dp53	LUA-4451	epsilon	58478	ENOPH1	enolase-phosphatase 1	1	1	Y	-666
202095_s_at	Analyte 74	74	dp52	LUA-4189	epsilon	332	BIRC5	baculoviral IAP repeat containing 5	1	1	Y	-666
203291_at	Analyte 74	74	dp53	LUA-66	epsilon	4850	CNOT4	"CCR4-NOT transcription complex, subunit 4"	1	1	Y	-666
200843_s_at	Analyte 75	75	dp52	LUA-659	epsilon	2058	EPRS	glutamyl-prolyl-tRNA synthetase	1	1	Y	-666
202507_s_at	Analyte 75	75	dp53	LUA-3588	epsilon	6616	SNAP25	"synaptosomal-associated protein, 25kDa"	1	1	Y	-666
212723_at	Analyte 76	76	dp53	LUA-101	epsilon	23210	JMJD6	jumonji domain containing 6	1	1	Y	-666
121_at	Analyte 76	76	dp52	LUA-545	epsilon	7849	PAX8	paired box 8	1	1	Y	-666
209682_at	Analyte 77	77	dp52	LUA-3722	epsilon	868	CBLB	Cas-Br-M (murine) ecotropic retroviral transforming sequence b	1	1	Y	-666
218826_at	Analyte 77	77	dp53	LUA-4139	epsilon	54733	SLC35F2	"solute carrier family 35, member F2"	1	1	Y	-666
218910_at	Analyte 78	78	dp53	LUA-3358	epsilon	55129	ANO10	anoctamin 10	1	1	Y	-666
212140_at	Analyte 78	78	dp52	LUA-886	epsilon	23244	PDS5A	"PDS5, regulator of cohesion maintenance, homolog A (S. cerevisiae)"	1	1	Y	-666
206752_s_at	Analyte 79	79	dp52	LUA-3963	epsilon	1677	DFFB	"DNA fragmentation factor, 40kDa, beta polypeptide (caspase-activated DNase)"	1	1	Y	-666
217934_x_at	Analyte 79	79	dp53	LUA-809	epsilon	10273	STUB1	"STIP1 homology and U-box containing protein 1, E3 ubiquitin protein ligase"	1	1	Y	-666
200886_s_at	Analyte 80	80	dp53	LUA-3175	epsilon	5223	PGAM1	phosphoglycerate mutase 1 (brain)	1	1	Y	-666
209747_at	Analyte 80	80	dp52	LUA-3847	epsilon	7043	TGFB3	"transforming growth factor, beta 3"	1	1	Y	-666
209364_at	Analyte 81	81	dp53	LUA-739	epsilon	572	BAD	BCL2-associated agonist of cell death	1	1	Y	-666
200670_at	Analyte 81	81	dp52	LUA-1129	epsilon	7494	XBP1	X-box binding protein 1	1	1	Y	-666
201158_at	Analyte 82	82	dp52	LUA-53	epsilon	4836	NMT1	N-myristoyltransferase 1	1	1	Y	-666
219485_s_at	Analyte 82	82	dp53	LUA-1307	epsilon	5716	PSMD10	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 10"	1	1	Y	-666
202109_at	Analyte 83	83	dp52	LUA-819	epsilon	23647	ARFIP2	ADP-ribosylation factor interacting protein 2	1	1	Y	-666
203884_s_at	Analyte 83	83	dp53	LUA-1142	epsilon	22841	RAB11FIP2	RAB11 family interacting protein 2 (class I)	1	1	Y	-666
202945_at	Analyte 84	84	dp53	LUA-571	epsilon	2356	FPGS	folylpolyglutamate synthase	1	1	Y	-666
202811_at	Analyte 84	84	dp52	LUA-858	epsilon	10617	STAMBP	STAM binding protein	1	1	Y	-666
204061_at	Analyte 85	85	dp52	LUA-3354	epsilon	5613	PRKX	"protein kinase, X-linked"	1	1	Y	-666
206050_s_at	Analyte 85	85	dp53	LUA-682	epsilon	6050	RNH1	ribonuclease/angiogenin inhibitor 1	1	1	Y	-666
221492_s_at	Analyte 86	86	dp53	LUA-4412	epsilon	64422	ATG3	ATG3 autophagy related 3 homolog (S. cerevisiae)	1	1	Y	-666
202862_at	Analyte 86	86	dp52	LUA-4373	epsilon	2184	FAH	fumarylacetoacetate hydrolase (fumarylacetoacetase)	1	1	Y	-666
204725_s_at	Analyte 87	87	dp53	LUA-3078	epsilon	4690	NCK1	NCK adaptor protein 1	1	1	Y	-666
201136_at	Analyte 87	87	dp52	LUA-4351	epsilon	5355	PLP2	proteolipid protein 2 (colonic epithelium-enriched)	1	1	Y	-666
209939_x_at	Analyte 88	88	dp53	LUA-3259	epsilon	8837	CFLAR	CASP8 and FADD-like apoptosis regulator	1	1	Y	-666
201416_at	Analyte 88	88	dp52	LUA-680	epsilon	6659	SOX4	SRY (sex determining region Y)-box 4	1	1	Y	-666
218595_s_at	Analyte 89	89	dp53	LUA-635	epsilon	55127	HEATR1	HEAT repeat containing 1	1	1	Y	-666
204106_at	Analyte 89	89	dp52	LUA-92	epsilon	7016	TESK1	testis-specific kinase 1	1	1	Y	-666
212115_at	Analyte 90	90	dp52	LUA-3555	epsilon	90861	HN1L	hematological and neurological expressed 1-like	1	1	Y	-666
212880_at	Analyte 90	90	dp53	LUA-1315	epsilon	23335	WDR7	WD repeat domain 7	1	1	Y	-666
203848_at	Analyte 91	91	dp53	LUA-24	epsilon	10270	AKAP8	A kinase (PRKA) anchor protein 8	1	1	Y	-666
201628_s_at	Analyte 91	91	dp52	LUA-1273	epsilon	10670	RRAGA	Ras-related GTP binding A	1	1	Y	-666
204256_at	Analyte 92	92	dp52	LUA-3480	epsilon	79071	ELOVL6	ELOVL fatty acid elongase 6	1	1	Y	-666
212811_x_at	Analyte 92	92	dp53	LUA-3340	epsilon	6509	SLC1A4	"solute carrier family 1 (glutamate/neutral amino acid transporter), member 4"	1	1	Y	-666
202324_s_at	Analyte 93	93	dp52	LUA-132	epsilon	64746	ACBD3	acyl-CoA binding domain containing 3	1	1	Y	-666
221549_at	Analyte 93	93	dp53	LUA-340	epsilon	83743	GRWD1	glutamate-rich WD repeat containing 1	1	1	Y	-666
204285_s_at	Analyte 94	94	dp52	LUA-136	epsilon	5366	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1	1	1	Y	-666
200887_s_at	Analyte 94	94	dp53	LUA-4495	epsilon	6772	STAT1	"signal transducer and activator of transcription 1, 91kDa"	1	1	Y	-666
206015_s_at	Analyte 95	95	dp53	LUA-469	epsilon	22887	FOXJ3	forkhead box J3	1	1	Y	-666
202009_at	Analyte 95	95	dp52	LUA-551	epsilon	11344	TWF2	"twinfilin, actin-binding protein, homolog 2 (Drosophila)"	1	1	Y	-666
206846_s_at	Analyte 96	96	dp52	LUA-838	epsilon	10013	HDAC6	histone deacetylase 6	1	1	Y	-666
219363_s_at	Analyte 96	96	dp53	LUA-2032	epsilon	51001	MTERFD1	MTERF domain containing 1	1	1	Y	-666
208711_s_at	Analyte 97	97	dp52	LUA-3735	epsilon	595	CCND1	cyclin D1	1	1	Y	-666
219492_at	Analyte 97	97	dp53	LUA-1029	epsilon	26511	CHIC2	cysteine-rich hydrophobic domain 2	1	1	Y	-666
201087_at	Analyte 98	98	dp52	LUA-94	epsilon	5829	PXN	paxillin	1	1	Y	-666
201498_at	Analyte 98	98	dp53	LUA-150	epsilon	7874	USP7	ubiquitin specific peptidase 7 (herpes virus-associated)	1	1	Y	-666
217950_at	Analyte 99	99	dp53	LUA-665	epsilon	51070	NOSIP	nitric oxide synthase interacting protein	1	1	Y	-666
202738_s_at	Analyte 99	99	dp52	LUA-677	epsilon	5257	PHKB	"phosphorylase kinase, beta"	1	1	Y	-666
209095_at	Analyte 100	100	dp53	LUA-56	epsilon	1738	DLD	dihydrolipoamide dehydrogenase	1	1	Y	-666
214062_x_at	Analyte 100	100	dp52	LUA-3102	epsilon	4793	NFKBIB	"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta"	1	1	Y	-666
207842_s_at	Analyte 101	101	dp52	LUA-855	epsilon	22794	CASC3	cancer susceptibility candidate 3	1	1	Y	-666
217496_s_at	Analyte 101	101	dp53	LUA-4498	epsilon	3416	IDE	insulin-degrading enzyme	1	1	Y	-666
205153_s_at	Analyte 102	102	dp53	LUA-3755	epsilon	958	CD40	"CD40 molecule, TNF receptor superfamily member 5"	1	1	Y	-666
200617_at	Analyte 102	102	dp52	LUA-1222	epsilon	9761	MLEC	malectin	1	1	Y	-666
207034_s_at	Analyte 103	103	dp52	LUA-4176	epsilon	2736	GLI2	GLI family zinc finger 2	1	1	Y	-666
209161_at	Analyte 103	103	dp53	LUA-623	epsilon	9128	PRPF4	PRP4 pre-mRNA processing factor 4 homolog (yeast)	1	1	Y	-666
204825_at	Analyte 104	104	dp53	LUA-767	epsilon	9833	MELK	maternal embryonic leucine zipper kinase	1	1	Y	-666
200083_at	Analyte 104	104	dp52	LUA-1115	epsilon	23326	USP22	ubiquitin specific peptidase 22	1	1	Y	-666
201763_s_at	Analyte 105	105	dp53	LUA-3953	epsilon	1616	DAXX	death-domain associated protein	1	1	Y	-666
200929_at	Analyte 105	105	dp52	LUA-4516	epsilon	10972	TMED10	transmembrane emp24-like trafficking protein 10 (yeast)	1	1	Y	-666
202230_s_at	Analyte 106	106	dp52	LUA-14	epsilon	10523	CHERP	calcium homeostasis endoplasmic reticulum protein	1	1	Y	-666
205398_s_at	Analyte 106	106	dp53	LUA-3785	epsilon	4088	SMAD3	SMAD family member 3	1	1	Y	-666
208717_at	Analyte 107	107	dp53	LUA-3135	epsilon	5018	OXA1L	oxidase (cytochrome c) assembly 1-like	1	1	Y	-666
204369_at	Analyte 107	107	dp52	LUA-3187	epsilon	5290	PIK3CA	"phosphoinositide-3-kinase, catalytic, alpha polypeptide"	1	1	Y	-666
205573_s_at	Analyte 108	108	dp53	LUA-3790	epsilon	51375	SNX7	sorting nexin 7	1	1	Y	-666
204985_s_at	Analyte 108	108	dp52	LUA-4005	epsilon	79090	TRAPPC6A	trafficking protein particle complex 6A	1	1	Y	-666
212255_s_at	Analyte 109	109	dp52	LUA-674	epsilon	27032	ATP2C1	"ATPase, Ca++ transporting, type 2C, member 1"	1	1	Y	-666
218399_s_at	Analyte 109	109	dp53	LUA-595	epsilon	55038	CDCA4	cell division cycle associated 4	1	1	Y	-666
212054_x_at	Analyte 110	110	dp53	LUA-1288	epsilon	23061	TBC1D9B	"TBC1 domain family, member 9B (with GRAM domain)"	1	1	Y	-666
201671_x_at	Analyte 110	110	dp52	LUA-1051	epsilon	9097	USP14	ubiquitin specific peptidase 14 (tRNA-guanine transglycosylase)	1	1	Y	-666
202630_at	Analyte 111	111	dp52	LUA-964	epsilon	10513	APPBP2	amyloid beta precursor protein (cytoplasmic tail) binding protein 2	1	1	Y	-666
202870_s_at	Analyte 111	111	dp53	LUA-3765	epsilon	991	CDC20	cell division cycle 20 homolog (S. cerevisiae)	1	1	Y	-666
